slug,type,vertical,brand_a,brand_b,clicks,verdict,notes
fella-vs-maximus,comparison,GLP-1,fella,maximus,0,CUT (no demand),partner Maximus vs rival fella
tuyo-health-vs-yucca-health,comparison,GLP-1,tuyo-health,yucca-health,0,CUT (no demand),partner Yucca Health vs rival tuyo-health
tuyo-health-vs-elevate-health,comparison,GLP-1,tuyo-health,elevate-health,0,CUT (no demand),partner Elevate Health vs rival tuyo-health
tuyo-health-vs-skinny-rx,comparison,GLP-1,tuyo-health,skinny-rx,0,CUT (no demand),partner SkinnyRx vs rival tuyo-health
tuyo-health-vs-enhance-md,comparison,GLP-1,tuyo-health,enhance-md,0,CUT (no demand),partner Enhance MD vs rival tuyo-health
tuyo-health-vs-maximus,comparison,GLP-1,tuyo-health,maximus,0,CUT (no demand),partner Maximus vs rival tuyo-health
fridays-vs-hone,comparison,GLP-1,fridays,hone,0,CUT (no demand),partner JoinFridays vs rival hone
fridays-vs-peter-md,comparison,GLP-1,fridays,peter-md,0,CUT (no demand),partner JoinFridays vs rival peter-md
fridays-vs-mystart,comparison,GLP-1,fridays,mystart,0,CUT (no demand),partner JoinFridays vs rival mystart
fridays-vs-bmi-md,comparison,GLP-1,fridays,bmi-md,0,CUT (no demand),partner JoinFridays vs rival bmi-md
fridays-vs-urway-health,comparison,GLP-1,fridays,urway-health,0,CUT (no demand),partner JoinFridays vs rival urway-health
fridays-vs-prime-health,comparison,GLP-1,fridays,prime-health,0,CUT (no demand),partner JoinFridays vs rival prime-health
fridays-vs-reflexmd,comparison,GLP-1,fridays,reflexmd,0,CUT (no demand),partner JoinFridays vs rival reflexmd
fridays-vs-dr-house,comparison,GLP-1,fridays,dr-house,0,CUT (no demand),partner JoinFridays vs rival dr-house
fridays-vs-fella,comparison,GLP-1,fridays,fella,0,CUT (no demand),partner JoinFridays vs rival fella
fridays-vs-tuyo-health,comparison,GLP-1,fridays,tuyo-health,0,CUT (no demand),partner JoinFridays vs rival tuyo-health
willow-vs-hone,comparison,GLP-1,willow,hone,0,CUT (no demand),partner Willow vs rival hone
willow-vs-peter-md,comparison,GLP-1,willow,peter-md,0,CUT (no demand),partner Willow vs rival peter-md
willow-vs-mystart,comparison,GLP-1,willow,mystart,0,CUT (no demand),partner Willow vs rival mystart
willow-vs-hims,comparison,GLP-1,willow,hims,0,CUT (no demand),partner Willow vs rival hims
willow-vs-bmi-md,comparison,GLP-1,willow,bmi-md,0,CUT (no demand),partner Willow vs rival bmi-md
